seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	64570411	64570496	86	*	X11881	5871	64556609	64570713	14105	-	0	inside	216	MAP4K2
chr11	64612529	64612663	135	*	X11885	55561	64591662	64612041	20380	-	487	upstream	487	CDC42BPG
chr11	64612906	64613040	135	*	X11886	55561	64591662	64612041	20380	-	864	upstream	864	CDC42BPG
chr11	64659489	64659522	34	*	X11894	406967	64658609	64658718	110	-	770	upstream	770	MIR192
chr11	64659489	64659522	34	*	X11894	406970	64658827	64658911	85	-	577	upstream	577	MIR194-2
chr11	64691872	64691961	90	*	X11897	5526	64692143	64701950	9808	+	181	upstream	181	PPP2R5B
chr11	64703167	64703271	105	*	X11900	170589	64701943	64703360	1418	-	0	inside	88	GPHA2
chr11	64764226	64764330	105	*	X11902	116071	64755417	64764517	9101	-	0	inside	186	BATF2
chr11	64781056	64781190	135	*	X11903	100528018	64781585	64808044	26460	+	394	upstream	394	ARL2-SNX15
chr11	64781056	64781190	135	*	X11903	402	64781585	64789657	8073	+	394	upstream	394	ARL2
chr11	64808647	64808693	47	*	X11908	29901	64808376	64812300	3925	+	0	inside	270	SAC3D1
chr11	64851945	64852140	196	*	X11916	7542	64851694	64855874	4181	+	0	inside	250	ZFPL1
chr11	64851945	64852140	196	*	X11916	113130	64844927	64851615	6689	-	329	upstream	329	CDCA5
chr11	64879186	64879305	120	*	X11919	7108	64879326	64883707	4382	+	20	upstream	20	TM7SF2
chr11	64886338	64886442	105	*	X11923	741	64883875	64885170	1296	-	1167	upstream	1167	ZNHIT2
chr11	64887703	64887807	105	*	X11924	740	64889655	64894841	5187	+	1847	upstream	1847	MRPL49
chr11	64948283	64948387	105	*	X11931	823	64948686	64979477	30792	+	298	upstream	298	CAPN1
chr11	64948424	64948483	60	*	X11932	823	64948686	64979477	30792	+	202	upstream	202	CAPN1
chr11	64948724	64948749	26	*	X11933	823	64948686	64979477	30792	+	0	inside	37	CAPN1
chr11	64980010	64980077	68	*	X11939	440044	64981311	65010228	28918	+	1233	upstream	1233	SLC22A20P
chr11	65080951	65081085	135	*	X11955	10435	65082289	65089900	7612	+	1203	upstream	1203	CDC42EP2
chr11	65082406	65082705	300	*	X11956	10435	65082289	65089900	7612	+	0	inside	116	CDC42EP2
chr11	65122509	65122628	120	*	X11962	220359	65122282	65125082	2801	+	0	inside	226	TIGD3
chr11	65188585	65188626	42	*	X11969	283131	65190269	65212028	21760	+	1642	upstream	1642	NEAT1
chr11	65189230	65189349	120	*	X11970	283131	65190269	65212028	21760	+	919	upstream	919	NEAT1
chr11	65189590	65189739	150	*	X11971	283131	65190269	65212028	21760	+	529	upstream	529	NEAT1
chr11	65190349	65190648	300	*	X11972	283131	65190269	65212028	21760	+	0	inside	79	NEAT1
chr11	65292252	65292298	47	*	X11983	57410	65292548	65306182	13635	+	249	upstream	249	SCYL1
chr11	65327025	65327174	150	*	X12002	4054	65306030	65326253	20224	-	771	upstream	771	LTBP3
chr11	65328210	65328314	105	*	X12003	4054	65306030	65326253	20224	-	1956	upstream	1956	LTBP3
chr11	65337124	65337243	120	*	X12006	10534	65337943	65339239	1297	+	699	upstream	699	ZNRD2
chr11	65338251	65338323	73	*	X12007	254100	65336691	65337884	1194	-	366	upstream	366	ZNRD2-DT
chr11	65338251	65338323	73	*	X12007	23625	65339820	65341669	1850	+	1496	upstream	1496	FAM89B
chr11	65339745	65339879	135	*	X12008	254100	65336691	65337884	1194	-	1860	upstream	1860	ZNRD2-DT
chr11	65339745	65339879	135	*	X12008	23625	65339820	65341669	1850	+	0	overlapStart	0	FAM89B
chr11	65342700	65342789	90	*	X12010	254102	65343509	65360116	16608	+	719	upstream	719	EHBP1L1
chr11	65343319	65343351	33	*	X12011	254102	65343509	65360116	16608	+	157	upstream	157	EHBP1L1
chr11	65402894	65402983	90	*	X12029	100616292	65403781	65403840	60	+	797	upstream	797	MIR4690
chr11	65404139	65404258	120	*	X12030	6494	65405578	65418391	12814	+	1319	upstream	1319	SIPA1
chr11	65431109	65431243	135	*	X12039	5970	65421067	65430443	9377	-	665	upstream	665	RELA
chr11	65549288	65549347	60	*	X12043	91056	65541369	65548062	6694	-	1225	upstream	1225	AP5B1
chr11	65645670	65645706	37	*	X12059	1521	65647284	65651212	3929	+	1577	upstream	1577	CTSW
chr11	65655556	65655750	195	*	X12062	9158	65651211	65656010	4800	-	0	inside	259	FIBP
chr11	65656132	65656158	27	*	X12063	9158	65651211	65656010	4800	-	121	upstream	121	FIBP
chr11	65656132	65656158	27	*	X12063	11007	65657875	65659106	1232	+	1716	upstream	1716	CCDC85B
chr11	65656366	65656470	105	*	X12064	9158	65651211	65656010	4800	-	355	upstream	355	FIBP
chr11	65656366	65656470	105	*	X12064	11007	65657875	65659106	1232	+	1404	upstream	1404	CCDC85B
chr11	65688374	65688444	71	*	X12071	83638	65684283	65686531	2249	-	1842	upstream	1842	C11orf68
chr11	65727445	65727589	145	*	X12072	9092	65729160	65747607	18448	+	1570	upstream	1570	SART1
chr11	65770079	65770318	240	*	X12073	84285	65764016	65769637	5622	-	441	upstream	441	EIF1AD
chr11	65770844	65770993	150	*	X12074	84285	65764016	65769637	5622	-	1206	upstream	1206	EIF1AD
chr11	65816827	65816858	32	*	X12075	89792	65808236	65816651	8416	-	175	upstream	175	GAL3ST3
chr11	65818839	65818958	120	*	X12076	10992	65819816	65836382	16567	+	857	upstream	857	SF3B2
chr11	66034409	66034498	90	*	X12086	81876	66036056	66044963	8908	+	1557	upstream	1557	RAB1B
chr11	66034679	66034813	135	*	X12087	81876	66036056	66044963	8908	+	1242	upstream	1242	RAB1B
chr11	66035009	66035023	15	*	X12088	81876	66036056	66044963	8908	+	1032	upstream	1032	RAB1B
chr11	66035182	66035188	7	*	X12089	81876	66036056	66044963	8908	+	867	upstream	867	RAB1B
chr11	66036317	66036328	12	*	X12090	81876	66036056	66044963	8908	+	0	inside	260	RAB1B
chr11	66043889	66044068	180	*	X12094	254263	66045672	66051685	6014	+	1603	upstream	1603	CNIH2
chr11	66045031	66045120	90	*	X12095	254263	66045672	66051685	6014	+	551	upstream	551	CNIH2
chr11	66045541	66045553	13	*	X12096	254263	66045672	66051685	6014	+	118	upstream	118	CNIH2
chr11	66084965	66085033	69	*	X12120	57124	66081958	66084515	2558	-	449	upstream	449	CD248
chr11	66085288	66085407	120	*	X12121	57124	66081958	66084515	2558	-	772	upstream	772	CD248
chr11	66085423	66085557	135	*	X12122	57124	66081958	66084515	2558	-	907	upstream	907	CD248
chr11	66086324	66086428	105	*	X12123	57124	66081958	66084515	2558	-	1808	upstream	1808	CD248
chr11	66105714	66105983	270	*	X12135	9610	66099542	66104311	4770	-	1402	upstream	1402	RIN1
chr11	66113505	66113624	120	*	X12136	25855	66104804	66112582	7779	-	922	upstream	922	BRMS1
chr11	66113829	66113948	120	*	X12137	25855	66104804	66112582	7779	-	1246	upstream	1246	BRMS1
chr11	66186535	66186669	135	*	X12145	266743	66188475	66194177	5703	+	1805	upstream	1805	NPAS4
chr11	66187135	66187254	120	*	X12146	266743	66188475	66194177	5703	+	1220	upstream	1220	NPAS4
chr11	66233139	66233243	105	*	X12147	246330	66233798	66244808	11011	+	554	upstream	554	PELI3
chr11	66233739	66233843	105	*	X12148	246330	66233798	66244808	11011	+	0	overlapStart	0	PELI3
chr11	66233934	66234065	132	*	X12149	246330	66233798	66244808	11011	+	0	inside	135	PELI3
chr11	66245799	66245895	97	*	X12152	10072	66247484	66277130	29647	+	1588	upstream	1588	DPP3
chr11	66313185	66313198	14	*	X12156	89	66313866	66330799	16934	+	667	upstream	667	ACTN3
chr11	66315269	66315388	120	*	X12157	254359	66288553	66313671	25119	-	1597	upstream	1597	ZDHHC24
chr11	66315644	66315868	225	*	X12158	254359	66288553	66313671	25119	-	1972	upstream	1972	ZDHHC24
chr11	66383769	66383928	160	*	X12161	100526737	66384053	66413944	29892	+	124	upstream	124	RBM14-RBM4
chr11	66383769	66383928	160	*	X12161	10432	66384053	66397397	13345	+	124	upstream	124	RBM14
chr11	66404921	66404965	45	*	X12166	5936	66406088	66435858	29771	+	1122	upstream	1122	RBM4
chr11	66405581	66405730	150	*	X12167	5936	66406088	66435858	29771	+	357	upstream	357	RBM4
chr11	66406313	66406432	120	*	X12168	5936	66406088	66435858	29771	+	0	inside	224	RBM4
chr11	66444926	66445225	300	*	X12171	83759	66432470	66445275	12806	-	0	inside	49	RBM4B
chr11	66610825	66610853	29	*	X12180	9986	66610883	66614003	3121	+	29	upstream	29	RCE1
chr11	66624913	66624954	42	*	X12182	78999	66624876	66627946	3071	+	0	inside	36	LRFN4
chr11	66725602	66725661	60	*	X12191	5091	66615997	66725847	109851	-	0	inside	185	PC
chr11	66727237	66727322	86	*	X12192	5091	66615997	66725847	109851	-	1389	upstream	1389	PC
chr11	66742656	66742705	50	*	X12193	254439	66742754	66744479	1726	+	48	upstream	48	C11orf86
chr11	66789226	66789267	42	*	X12197	91683	66790190	66818334	28145	+	922	upstream	922	SYT12
chr11	66823415	66823534	120	*	X12201	29984	66824289	66839488	15200	+	754	upstream	754	RHOD
chr11	67032754	67032785	32	*	X12209	156	67033905	67054029	20125	+	1119	upstream	1119	GRK2
chr11	67070036	67070140	105	*	X12219	54961	67070919	67080078	9160	+	778	upstream	778	SSH3
chr11	67070571	67070660	90	*	X12220	54961	67070919	67080078	9160	+	258	upstream	258	SSH3
chr11	67121140	67121289	150	*	X12231	57804	67118236	67121067	2832	-	72	upstream	72	POLD4
chr11	67121393	67121527	135	*	X12232	57804	67118236	67121067	2832	-	325	upstream	325	POLD4
chr11	67142125	67142219	95	*	X12236	23529	67131639	67141648	10010	-	476	upstream	476	CLCF1
chr11	67181107	67181274	168	*	X12241	57571	67183149	67193078	9930	+	1874	upstream	1874	CARNS1
chr11	67181451	67181511	61	*	X12242	57571	67183149	67193078	9930	+	1637	upstream	1637	CARNS1
chr11	67188667	67188725	59	*	X12245	5499	67165652	67188654	23003	-	12	upstream	12	PPP1CA
chr11	67189027	67189131	105	*	X12246	5499	67165652	67188654	23003	-	372	upstream	372	PPP1CA
chr11	67205163	67205237	75	*	X12250	5790	67202981	67205153	2173	-	9	upstream	9	PTPRCAP
chr11	67205687	67205702	16	*	X12251	5790	67202981	67205153	2173	-	533	upstream	533	PTPRCAP
chr11	67205831	67205851	21	*	X12252	5790	67202981	67205153	2173	-	677	upstream	677	PTPRCAP
chr11	67205958	67206047	90	*	X12253	5790	67202981	67205153	2173	-	804	upstream	804	PTPRCAP
chr11	67211158	67211281	124	*	X12255	57175	67205518	67211292	5775	-	0	inside	10	CORO1B
chr11	67236331	67236555	225	*	X12262	80194	67231819	67236748	4930	-	0	inside	192	TMEM134
chr11	67272455	67272574	120	*	X12266	9600	67259239	67272843	13605	-	0	inside	268	PITPNM1
chr11	67272838	67272919	82	*	X12267	9600	67259239	67272843	13605	-	0	overlapStart	0	PITPNM1
chr11	67274205	67274294	90	*	X12268	9600	67259239	67272843	13605	-	1361	upstream	1361	PITPNM1
chr11	67274465	67274579	115	*	X12269	9600	67259239	67272843	13605	-	1621	upstream	1621	PITPNM1
chr11	67276595	67276659	65	*	X12270	10263	67273961	67276199	2239	-	395	upstream	395	CDK2AP2
chr11	67397474	67397529	56	*	X12274	254552	67395409	67397408	2000	-	65	upstream	65	NUDT8
chr11	67397961	67398302	342	*	X12275	254552	67395409	67397408	2000	-	552	upstream	552	NUDT8
chr11	67398663	67398752	90	*	X12276	254552	67395409	67397408	2000	-	1254	upstream	1254	NUDT8
chr11	67399043	67399063	21	*	X12277	254552	67395409	67397408	2000	-	1634	upstream	1634	NUDT8
chr11	67573495	67573717	223	*	X12279	645332	67559238	67572807	13570	-	687	upstream	687	FAM86C2P
chr11	67573730	67573844	115	*	X12280	645332	67559238	67572807	13570	-	922	upstream	922	FAM86C2P
chr11	67574265	67574354	90	*	X12281	645332	67559238	67572807	13570	-	1457	upstream	1457	FAM86C2P
chr11	67774578	67774727	150	*	X12286	221	67776048	67796743	20696	+	1320	upstream	1320	ALDH3B1
chr11	67806568	67806657	90	*	X12291	10312	67806462	67818366	11905	+	0	inside	105	TCIRG1
chr11	67981560	67981634	75	*	X12308	51111	67923507	67981068	57562	-	491	upstream	491	KMT5B
chr11	67982384	67982444	61	*	X12309	51111	67923507	67981068	57562	-	1315	upstream	1315	KMT5B
chr11	68039135	68039254	120	*	X12311	53838	68028803	68039469	10667	-	0	inside	214	C11orf24
chr11	68228282	68228463	182	*	X12328	55291	68228186	68382801	154616	+	0	inside	95	PPP6R3
chr11	68451765	68451914	150	*	X12338	51083	68451983	68458643	6661	+	68	upstream	68	GAL
chr11	68519166	68519300	135	*	X12342	9633	68474908	68518988	44081	-	177	upstream	177	TESMIN
chr11	68610239	68610285	47	*	X12350	1374	68522088	68609399	87312	-	839	upstream	839	CPT1A
chr11	68610755	68610844	90	*	X12351	1374	68522088	68609399	87312	-	1355	upstream	1355	CPT1A
chr11	68780761	68780880	120	*	X12356	116535	68771862	68780850	8989	-	0	overlapStart	0	MRGPRF
chr11	68781076	68781225	150	*	X12357	116535	68771862	68780850	8989	-	225	upstream	225	MRGPRF
chr11	68781423	68781587	165	*	X12358	116535	68771862	68780850	8989	-	572	upstream	572	MRGPRF
chr11	68816195	68816202	8	*	X12361	219931	68816350	68858072	41723	+	147	upstream	147	TPCN2
chr11	69454209	69454248	40	*	X12387	595	69455873	69469242	13370	+	1624	upstream	1624	CCND1
chr11	69454484	69454508	25	*	X12388	595	69455873	69469242	13370	+	1364	upstream	1364	CCND1
chr11	69519216	69519350	135	*	X12394	9965	69513006	69519106	6101	-	109	upstream	109	FGF19
chr11	69519851	69519970	120	*	X12395	9965	69513006	69519106	6101	-	744	upstream	744	FGF19
chr11	69520506	69520595	90	*	X12396	9965	69513006	69519106	6101	-	1399	upstream	1399	FGF19
chr11	71497542	71497797	256	*	X12467	55199	71498557	71512280	13724	+	759	upstream	759	FAM86C1P
chr11	71790963	71790985	23	*	X12480	220074	71791377	71821828	30452	+	391	upstream	391	LRTOMT
chr11	71791136	71791270	135	*	X12481	220074	71791377	71821828	30452	+	106	upstream	106	LRTOMT
chr11	71792456	71792545	90	*	X12482	4926	71713911	71791573	77663	-	882	upstream	882	NUMA1
chr11	71814267	71814284	18	*	X12484	55004	71808338	71814433	6096	-	0	inside	148	LAMTOR1
chr11	71934002	71934136	135	*	X12486	3636	71935882	71950188	14307	+	1745	upstream	1745	INPPL1
chr11	71935142	71935246	105	*	X12487	3636	71935882	71950188	14307	+	635	upstream	635	INPPL1
chr11	71935322	71935471	150	*	X12488	3636	71935882	71950188	14307	+	410	upstream	410	INPPL1
chr11	71935547	71935559	13	*	X12489	3636	71935882	71950188	14307	+	322	upstream	322	INPPL1
chr11	72385794	72385970	177	*	X12524	5138	72287184	72385497	98314	-	296	upstream	296	PDE2A
chr11	72386559	72386561	3	*	X12525	5138	72287184	72385497	98314	-	1061	upstream	1061	PDE2A
chr11	72853195	72853213	19	*	X12541	9873	72547790	72853143	305354	-	51	upstream	51	FCHSD2
chr11	72853942	72853971	30	*	X12542	9873	72547790	72853143	305354	-	798	upstream	798	FCHSD2
chr11	72928974	72929063	90	*	X12545	5029	72929343	72953472	24130	+	279	upstream	279	P2RY2
chr11	73018162	73018296	135	*	X12550	9828	73019663	73080425	60763	+	1366	upstream	1366	ARHGEF17
chr11	73018567	73018631	65	*	X12551	9828	73019663	73080425	60763	+	1031	upstream	1031	ARHGEF17
chr11	73018828	73018905	78	*	X12552	9828	73019663	73080425	60763	+	757	upstream	757	ARHGEF17
chr11	73019146	73019280	135	*	X12553	9828	73019663	73080425	60763	+	382	upstream	382	ARHGEF17
chr11	73356666	73356770	105	*	X12587	58473	73357223	73373864	16642	+	452	upstream	452	PLEKHB1
chr11	73472625	73472719	95	*	X12599	5870	73386683	73472201	85519	-	423	upstream	423	RAB6A
chr11	73693710	73693844	135	*	X12608	7351	73685716	73693889	8174	-	0	inside	44	UCP2
chr11	73693995	73694024	30	*	X12609	7351	73685716	73693889	8174	-	105	upstream	105	UCP2
chr11	73695855	73695944	90	*	X12610	7351	73685716	73693889	8174	-	1965	upstream	1965	UCP2
chr11	73721407	73721549	143	*	X12611	7352	73711326	73720282	8957	-	1124	upstream	1124	UCP3
chr11	73721790	73721954	165	*	X12612	7352	73711326	73720282	8957	-	1507	upstream	1507	UCP3
chr11	74950065	74950184	120	*	X12634	100507050	74951950	74954749	2800	+	1765	upstream	1765	TPBGL
chr11	74950939	74950964	26	*	X12635	100507050	74951950	74954749	2800	+	985	upstream	985	TPBGL
chr11	74951220	74951489	270	*	X12636	100507050	74951950	74954749	2800	+	460	upstream	460	TPBGL
chr11	75063242	75063376	135	*	X12644	408	74971166	75062875	91710	-	366	upstream	366	ARRB1
chr11	75237433	75237504	72	*	X12651	81544	75145685	75236599	90915	-	833	upstream	833	GDPD5
chr11	75237763	75237791	29	*	X12652	81544	75145685	75236599	90915	-	1163	upstream	1163	GDPD5
chr11	75272908	75273087	180	*	X12657	871	75273101	75283849	10749	+	13	upstream	13	SERPINH1
chr11	75379923	75380027	105	*	X12672	4135	75297963	75379479	81517	-	443	upstream	443	MAP6
chr11	75380163	75380282	120	*	X12673	4135	75297963	75379479	81517	-	683	upstream	683	MAP6
chr11	75380397	75380486	90	*	X12674	4135	75297963	75379479	81517	-	917	upstream	917	MAP6
chr11	75428887	75428908	22	*	X12675	80168	75428934	75442331	13398	+	25	upstream	25	MOGAT2
chr11	75480636	75480642	7	*	X12676	283214	75469500	75479692	10193	-	943	upstream	943	DGAT2-DT
chr11	75525937	75525961	25	*	X12677	7405	75526212	75855282	329071	+	250	upstream	250	UVRAG
chr11	75526388	75526477	90	*	X12678	7405	75526212	75855282	329071	+	0	inside	175	UVRAG
chr11	76091557	76091631	75	*	X12694	5612	76061004	76091880	30877	-	0	inside	248	THAP12
chr11	76382465	76382488	24	*	X12712	2615	76368568	76381791	13224	-	673	upstream	673	LRRC32
chr11	76433253	76433272	20	*	X12715	390226	76391210	76432833	41624	-	419	upstream	419	GUCY2EP
chr11	76492293	76492438	146	*	X12719	25987	76493357	76509198	15842	+	918	upstream	918	TSKU
chr11	76492698	76492832	135	*	X12720	25987	76493357	76509198	15842	+	524	upstream	524	TSKU
chr11	76571488	76571607	120	*	X12731	55331	76571917	76734850	162934	+	309	upstream	309	ACER3
chr11	76777160	76777204	45	*	X12738	726	76777992	76837198	59207	+	787	upstream	787	CAPN5
chr11	76777549	76777638	90	*	X12739	726	76777992	76837198	59207	+	353	upstream	353	CAPN5
chr11	76778270	76778389	120	*	X12740	726	76777992	76837198	59207	+	0	inside	277	CAPN5
chr11	77185701	77185790	90	*	X12765	5058	77033060	77185108	152049	-	592	upstream	592	PAK1
chr11	77530593	77530697	105	*	X12769	28971	77532197	77629464	97268	+	1499	upstream	1499	AAMDC
chr11	77530784	77530903	120	*	X12770	28971	77532197	77629464	97268	+	1293	upstream	1293	AAMDC
chr11	77531144	77531263	120	*	X12771	28971	77532197	77629464	97268	+	933	upstream	933	AAMDC
chr11	77532185	77532238	54	*	X12772	28971	77532197	77629464	97268	+	0	overlapStart	0	AAMDC
chr11	77532185	77532238	54	*	X12772	51773	77377274	77531880	154607	-	304	upstream	304	RSF1
chr11	77532329	77532538	210	*	X12773	28971	77532197	77629464	97268	+	0	inside	131	AAMDC
chr11	77532329	77532538	210	*	X12773	51773	77377274	77531880	154607	-	448	upstream	448	RSF1
chr11	77532734	77532868	135	*	X12774	51773	77377274	77531880	154607	-	853	upstream	853	RSF1
chr11	77706137	77706141	5	*	X12775	92105	77589766	77705717	115952	-	419	upstream	419	INTS4
chr11	77790997	77791176	180	*	X12777	100532726	77726761	77791265	64505	-	0	inside	88	NDUFC2-KCTD14
chr11	77790997	77791176	180	*	X12777	4718	77779393	77791265	11873	-	0	inside	88	NDUFC2
chr11	77792099	77792166	68	*	X12778	100532726	77726761	77791265	64505	-	833	upstream	833	NDUFC2-KCTD14
chr11	77792099	77792166	68	*	X12778	4718	77779393	77791265	11873	-	833	upstream	833	NDUFC2
chr11	77899142	77899284	143	*	X12779	57558	77899858	77925757	25900	+	573	upstream	573	USP35
chr11	79152478	79152627	150	*	X12804	26011	78364328	79151695	787368	-	782	upstream	782	TENM4
chr11	82611451	82611570	120	*	X12813	220042	82612737	82669319	56583	+	1166	upstream	1166	DDIAS
chr11	82611451	82611570	120	*	X12813	5547	82535409	82611557	76149	-	0	overlapStart	0	PRCP
chr11	82612268	82612417	150	*	X12814	220042	82612737	82669319	56583	+	319	upstream	319	DDIAS
chr11	82612268	82612417	150	*	X12814	5547	82535409	82611557	76149	-	710	upstream	710	PRCP
chr11	82782550	82782654	105	*	X12820	100506233	82783108	82784754	1647	+	453	upstream	453	RAB30-DT
chr11	82782550	82782654	105	*	X12820	27314	82692478	82782884	90407	-	0	inside	229	RAB30
chr11	85781443	85781481	39	*	X12830	8301	85668214	85780923	112710	-	519	upstream	519	PICALM
chr11	86510730	86510756	27	*	X12836	11098	86511491	86663830	152340	+	734	upstream	734	PRSS23
chr11	86665568	86665702	135	*	X12838	100506368	86666663	86711989	45327	+	960	upstream	960	FZD4-DT
chr11	86667293	86667449	157	*	X12839	8322	86656717	86666440	9724	-	852	upstream	852	FZD4
chr11	89956436	89956555	120	*	X12845	26973	89933597	89956532	22936	-	0	overlapStart	0	CHORDC1
chr11	92930829	92930903	75	*	X12877	120103	92880850	92931095	50246	-	0	inside	191	SLC36A4
chr11	93393793	93393905	113	*	X12883	85459	93394816	93463522	68707	+	910	upstream	910	CEP295
chr11	93517257	93517350	94	*	X12884	9440	93517405	93546496	29092	+	54	upstream	54	MED17
chr11	94227362	94227481	120	*	X12887	54851	94227153	94232744	5592	+	0	inside	208	ANKRD49
chr11	94227362	94227481	120	*	X12887	4361	94150469	94227040	76572	-	321	upstream	321	MRE11
chr11	94276229	94276333	105	*	X12888	143689	94277006	94354587	77582	+	672	upstream	672	PIWIL4
chr11	94276229	94276333	105	*	X12888	2526	94277017	94283064	6048	+	683	upstream	683	FUT4
chr11	94276919	94277053	135	*	X12889	143689	94277006	94354587	77582	+	0	overlapStart	0	PIWIL4
chr11	94276919	94277053	135	*	X12889	2526	94277017	94283064	6048	+	0	overlapStart	0	FUT4
chr11	95522412	95522561	150	*	X12907	9702	95523625	95565857	42233	+	1063	upstream	1063	CEP57
chr11	95522652	95522876	225	*	X12908	9702	95523625	95565857	42233	+	748	upstream	748	CEP57
chr11	95522652	95522876	225	*	X12908	143684	95502106	95522954	20849	-	0	inside	77	FAM76B
chr11	96122839	96122943	105	*	X12915	8690	96123158	96126727	3570	+	214	upstream	214	JRKL
chr11	96122839	96122943	105	*	X12915	79780	96085929	96123083	37155	-	0	inside	139	CCDC82
chr11	98891616	98891695	80	*	X12918	53942	98891706	100229616	1337911	+	10	upstream	10	CNTN5
chr11	100999921	101000040	120	*	X12929	101054525	100999808	101069639	69832	+	0	inside	112	PGR-AS1
chr11	102218109	102218243	135	*	X12933	329	102217913	102249401	31489	+	0	inside	195	BIRC2
chr11	102323768	102323962	195	*	X12938	114908	102267056	102323775	56720	-	0	overlapStart	0	TMEM123
chr11	102324083	102324187	105	*	X12939	114908	102267056	102323775	56720	-	307	upstream	307	TMEM123
chr11	102980203	102980307	105	*	X12942	79659	102980160	103350591	370432	+	0	inside	42	DYNC2H1
chr11	105947768	105947902	135	*	X12949	60496	105948292	105969419	21128	+	389	upstream	389	AASDHPPT
chr11	107460932	107460976	45	*	X12953	55531	107461817	107537505	75689	+	840	upstream	840	ELMOD1
chr11	107460932	107460976	45	*	X12953	643923	107462471	107463949	1479	+	1494	upstream	1494	NA
chr11	107461421	107461645	225	*	X12954	55531	107461817	107537505	75689	+	171	upstream	171	ELMOD1
chr11	107461421	107461645	225	*	X12954	643923	107462471	107463949	1479	+	825	upstream	825	NA
chr11	107729888	107729992	105	*	X12959	54733	107661717	107729914	68198	-	0	overlapStart	0	SLC35F2
chr11	107731651	107731702	52	*	X12960	54733	107661717	107729914	68198	-	1736	upstream	1736	SLC35F2
chr11	108092792	108092896	105	*	X12966	472	108093559	108239826	146268	+	662	upstream	662	ATM
chr11	108338769	108338813	45	*	X12968	160140	108179246	108338258	159013	-	510	upstream	510	C11orf65
chr11	109292920	109292977	58	*	X12970	399947	109292846	109299893	7048	+	0	inside	73	C11orf87
chr11	109293008	109293097	90	*	X12971	399947	109292846	109299893	7048	+	0	inside	161	C11orf87
chr11	109963365	109963454	90	*	X12974	85463	109963926	110042566	78641	+	471	upstream	471	ZC3H12C
chr11	109964160	109964369	210	*	X12975	85463	109963926	110042566	78641	+	0	inside	233	ZC3H12C
chr11	111169265	111169309	45	*	X12983	120376	111169271	111179460	10190	+	0	overlapStart	0	COLCA2
chr11	111385161	111385280	120	*	X12988	399949	111385510	111407756	22247	+	229	upstream	229	HOATZ
chr11	111750829	111750897	69	*	X12996	79796	111652919	111750181	97263	-	647	upstream	647	ALG9
chr11	111750829	111750897	69	*	X12996	91893	111744780	111750181	5402	-	647	upstream	647	FDXACB1
chr11	111782409	111782513	105	*	X12997	100528019	111783460	111797595	14136	+	946	upstream	946	HSPB2-C11orf52
chr11	111782409	111782513	105	*	X12997	3316	111783460	111789728	6269	+	946	upstream	946	HSPB2
chr11	111782409	111782513	105	*	X12997	1410	111779350	111782473	3124	-	0	overlapStart	0	CRYAB
chr11	111783319	111783378	60	*	X12998	100528019	111783460	111797595	14136	+	81	upstream	81	HSPB2-C11orf52
chr11	111783319	111783378	60	*	X12998	3316	111783460	111789728	6269	+	81	upstream	81	HSPB2
chr11	111783319	111783378	60	*	X12998	1410	111779350	111782473	3124	-	845	upstream	845	CRYAB
chr11	111798017	111798073	57	*	X12999	85458	111797868	111893307	95440	+	0	inside	148	DIXDC1
chr11	113144879	113144983	105	*	X13028	100288346	113140254	113144623	4370	-	255	upstream	255	NCAM1-AS1
chr11	113145465	113145486	22	*	X13029	100288346	113140254	113144623	4370	-	841	upstream	841	NCAM1-AS1
chr11	113145570	113145584	15	*	X13030	100288346	113140254	113144623	4370	-	946	upstream	946	NCAM1-AS1
chr11	113185127	113185165	39	*	X13035	54970	113185251	113244018	58768	+	85	upstream	85	TTC12
chr11	113347462	113347521	60	*	X13042	1813	113280317	113346413	66097	-	1048	upstream	1048	DRD2
chr11	113347967	113348071	105	*	X13043	1813	113280317	113346413	66097	-	1553	upstream	1553	DRD2
chr11	113745977	113746141	165	*	X13053	57646	113668597	113746256	77660	-	0	inside	114	USP28
chr11	113746180	113746226	47	*	X13054	57646	113668597	113746256	77660	-	0	inside	29	USP28
chr11	113929916	113930050	135	*	X13056	7704	113930431	114121397	190967	+	380	upstream	380	ZBTB16
chr11	113930411	113930440	30	*	X13057	7704	113930431	114121397	190967	+	0	overlapStart	0	ZBTB16
chr11	114127391	114127510	120	*	X13074	4837	114128553	114183238	54686	+	1042	upstream	1042	NNMT
chr11	115630983	115631102	120	*	X13116	283143	115626051	115631345	5295	-	0	inside	242	LINC00900
chr11	116645612	116645625	14	*	X13159	84811	116618886	116643714	24829	-	1897	upstream	1897	BUD13
chr11	117747546	117747568	23	*	X13201	100533181	117690790	117747746	56957	-	0	inside	177	FXYD6-FXYD2
chr11	117857251	117857281	31	*	X13206	3587	117857106	117872199	15094	+	0	inside	144	IL10RA
chr11	118023756	118023787	32	*	X13211	6330	118004092	118023630	19539	-	125	upstream	125	SCN4B
chr11	118024274	118024312	39	*	X13212	6330	118004092	118023630	19539	-	643	upstream	643	SCN4B
chr11	118305828	118306142	315	*	X13224	4297	118307205	118397539	90335	+	1062	upstream	1062	KMT2A
